"","Aconitum_lycoctonum","Alchemilla_alpina","Alchemilla_borealis","Antennaria_alpina","Antennaria_canescens","Antennaria_porsildii","Anthoxanthum_nipponicum","Arabis_alpina","Arctous_alpina","Arenaria_humifusa","Arenaria_norvegica","Armeria_scabra","Arnica_angustifolia","Artemisia_norvegica","Astragalus_alpinus","Astragalus_frigidus","Astragalus_norvegicus","Braya_linearis","Campanula_barbata","Campanula_uniflora","Cardamine_bellidifolia","Carex_arctogena","Carex_atrata","Carex_atrofusca","Carex_bicolor","Carex_bigelowii","Carex_fuliginosa","Carex_glacialis","Carex_holostoma","Carex_lachenalii","Carex_macloviana","Carex_microglochin","Carex_nardina","Carex_parallela","Carex_rotundata","Carex_rufina","Carex_rupestris","Carex_saxatilis","Carex_scirpoidea","Cassiope_tetragona","Cerastium_alpinum","Cerastium_arcticum","Cerastium_cerastoides","Chamorchis_alpina","Comastoma_tenellum","Cryptogramma_crispa","Cystopteris_alpina","Cystopteris_montana","Deschampsia_alpina","Diapensia_lapponica","Diphasiastrum_alpinum","Draba_alpina","Draba_cacuminum","Draba_crassifolia","Draba_fladnizensis","Draba_glabella","Draba_lactea","Draba_nivalis","Draba_norvegica","Draba_oxycarpa","Dryas_octopetala","Elymus_alaskanus","Elymus_mutabilis","Epilobium_anagallidifolium","Epilobium_davuricum","Epilobium_lactiflorum","Equisetum_scirpoides","Erigeron_borealis","Erigeron_humilis","Erigeron_uniflorus","Euphrasia_hyperborea","Euphrasia_salisburgensis","Festuca_vivipara","Gentiana_nivalis","Gentianella_aurea","Gentianopsis_detonsa","Harrimanella_hypnoides","Hieracium_alpinum","Juncus_arcticus","Juncus_biglumis","Juncus_castaneus","Juncus_trifidus","Juncus_triglumis","Koenigia_islandica","Lappula_deflexa","Luzula_arctica","Luzula_arcuata","Luzula_confusa","Luzula_parviflora","Luzula_spicata","Luzula_wahlenbergii","Omalotheca_norvegica","Oreopteris_limbosperma","Oxyria_digyna","Oxytropis_lapponica","Papaver_radicatum","Pedicularis_flammea","Pedicularis_hirsuta","Pedicularis_lapponica","Pedicularis_oederi","Phippsia_algida","Phippsia_concinna","Phyllodoce_caerulea","Pinguicula_alpina","Poa_arctica","Poa_flexuosa","Poa_glauca","Polemonium_acutiflorum","Polystichum_lonchitis","Potentilla_nivea","Potentilla_norvegica","Primula_scandinavica","Primula_stricta","Pseudorchis_albida","Ranunculus_hyperboreus","Ranunculus_nivalis","Ranunculus_platanifolius","Ranunculus_pygmaeus","Ranunculus_sulphureus","Rhododendron_lapponicum","Rumex_graminifolius","Sabulina_rubella","Sagina_caespitosa","Sagina_nivalis","Salix_arbuscula","Salix_herbacea","Salix_lanata","Salix_polaris","Salix_reticulata","Saxifraga_adscendens","Saxifraga_cernua","Saxifraga_cespitosa","Saxifraga_cotyledon","Saxifraga_hirculus","Saxifraga_oppositifolia","Saxifraga_paniculata","Saxifraga_rivularis","Sedum_villosum","Sibbaldia_procumbens","Silene_acaulis","Silene_suecica","Silene_uralensis","Trichophorum_pumilum","Trisetum_spicatum","Trisetum_subalpestre","Deschampsia_atropurpurea","Veratrum_album","Veronica_alpina","Veronica_fruticans","Woodsia_alpina","Woodsia_glabella"
"site33",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"site229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"site420",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"site620",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"site823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"site1015",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"site1208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"site1402",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"site1594",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"site1786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
