name;category;B/AA
Acer platanoides;Boreal;B
Achillea millefolium;Boreal;B
Achillea ptarmica;Boreal;B
Aconitum lycoctonum;Arc-alp;AA
Actaea rubra;Boreal;B
Adoxa moschatellina;Boreal;B
Aegopodium podagraria;Boreal;B
Agrostis canina;Boreal;B
Agrostis capillaris;Boreal;B
Agrostis clavata;Boreal;B
Agrostis gigantea;Boreal;B
Agrostis mertensii;Boreal;B
Agrostis stolonifera;Boreal;B
Agrostis vinealis;Boreal;B
Ajuga pyramidalis;Boreal;B
Alchemilla alpina;Arc-alp;AA
Alchemilla borealis;Arc-alp;AA
Alchemilla filicaulis;Boreal;B
Alchemilla glabra;Boreal;B
Alchemilla glaucescens;Boreal;B
Alchemilla glomerulans;Boreal;B
Alchemilla micans;Boreal;B
Alchemilla monticola;Boreal;B
Alchemilla murbeckiana;Boreal;B
Alchemilla plicata;Boreal;B
Alchemilla propinqua;Boreal;B
Alchemilla sarmatica;Boreal;B
Alchemilla subcrenata;Boreal;B
Alchemilla subglobosa;Boreal;B
Alchemilla wichurae;Boreal;B
Alchemilla vulgaris;Boreal;B
Alisma plantago-aquatica;Boreal;B
Allium schoenoprasum;Boreal;B
Alnus glutinosa;Boreal;B
Alnus incana;Boreal;B
Alopecurus aequalis;Boreal;B
Alopecurus geniculatus;Boreal;B
Alopecurus myosuroides;Boreal;B
Alopecurus pratensis;Boreal;B
Andromeda polifolia;Boreal;B
Anemone nemorosa;Boreal;B
Angelica sylvestris;Boreal;B
Antennaria alpina;Arc;AA
Antennaria dioica;Boreal;B
Antennaria lanata;Boreal;B
Antennaria nordhageniana;Arc;AA
Antennaria porsildii;Arc;AA
Anthoxanthum monticola;Arc;AA
Anthoxanthum nipponicum;Arc-alp;AA
Anthoxanthum nitens;Boreal;B
Anthoxanthum odoratum;Boreal;B
Anthriscus sylvestris;Boreal;B
Anthyllis vulneraria;Boreal;B
Apera spica-venti;Boreal;B
Aquilegia vulgaris;Boreal;B
Arabidopsis arenosa;Boreal;B
Arabidopsis lyrata;Boreal;B
Arabidopsis suecica;Boreal;B
Arabis alpina;Arc-alp;AA
Arabis hirsuta;Boreal;B
Arctagrostis latifolia;Arc-alp;AA
Arctostaphylos uva-ursi;Boreal;B
Arctous alpina;Arc-alp;AA
Arenaria humifusa;Arc-alp;AA
Arenaria norvegica;Arc-alp;AA
Arenaria pseudofrigida;Arc-alp;AA
Arenaria serpyllifolia;Boreal;B
Argentina anserina;Boreal;B
Armeria scabra;Arc-alp;AA
Arnica angustifolia;Arc;AA
Artemisia campestris;Boreal;B
Artemisia norvegica;Arc-alp;AA
Artemisia vulgaris;Boreal;B
Asperugo procumbens;Boreal;B
Asplenium ruta-muraria;Boreal;B
Asplenium viride;Boreal;B
Astragalus alpinus;Arc-alp;AA
Astragalus frigidus;Arc-alp;AA
Astragalus norvegicus;Arc-alp;AA
Athyrium distentifolium;Alp;AA
Athyrium filix-femina;Boreal;B
Avenella flexuosa;Boreal;B
Avenula pubescens;Boreal;B
Barbarea stricta;Boreal;B
Barbarea vulgaris;Boreal;B
Bartsia alpina;Arc-alp;AA
Betula nana;Boreal;B
Betula pendula;Boreal;B
Betula pubescens;Boreal;B
Bistorta vivipara;Boreal;B
Botrychium boreale;Boreal;B
Botrychium lanceolatum;Boreal;B
Botrychium lunaria;Boreal;B
Botrychium multifidum;Boreal;B
Brassica rapa;Boreal;B
Braya linearis;Arc;AA
Bromus hordeaceus;Boreal;B
Bromus inermis;Boreal;B
Buglossoides arvensis;Boreal;B
Butomus umbellatus;Boreal;B
Calamagrostis arundinacea;Boreal;B
Calamagrostis canescens;Boreal;B
Calamagrostis chalybaea;Boreal;B
Calamagrostis epigejos;Boreal;B
Calamagrostis lapponica;Boreal;B
Calamagrostis neglecta;Boreal;B
Calamagrostis purpurea;Boreal;B
Calla palustris;Boreal;B
Callitriche brutia;Boreal;B
Callitriche cophocarpa;Boreal;B
Callitriche hermaphroditica;Boreal;B
Callitriche palustris;Boreal;B
Calluna vulgaris;Boreal;B
Caltha palustris;Boreal;B
Campanula barbata;Alp;AA
Campanula glomerata;Boreal;B
Campanula latifolia;Boreal;B
Campanula patula;Boreal;B
Campanula persicifolia;Boreal;B
Campanula rapunculoides;Boreal;B
Campanula rotundifolia;Boreal;B
Campanula uniflora;Arc;AA
Capsella bursa-pastoris;Boreal;B
Cardamine amara;Boreal;B
Cardamine bellidifolia;Arc-alp;AA
Cardamine flexuosa;Boreal;B
Cardamine pratensis;Boreal;B
Carduus crispus;Boreal;B
Carex acuta;Boreal;B
Carex appropinquata;Boreal;B
Carex aquatilis;Boreal;B
Carex arctogena;Arc-alp;AA
Carex atherodes;Boreal;B
Carex atrata;Arc-alp;AA
Carex atrofusca;Alp;AA
Carex bicolor;Arc-alp;AA
Carex bigelowii;Arc-alp;AA
Carex brunnescens;Boreal;B
Carex buxbaumii;Boreal;B
Carex canescens;Boreal;B
Carex capillaris;Boreal;B
Carex capitata;Boreal;B
Carex cespitosa;Boreal;B
Carex chordorrhiza;Boreal;B
Carex diandra;Boreal;B
Carex digitata;Boreal;B
Carex dioica;Boreal;B
Carex disperma;Boreal;B
Carex echinata;Boreal;B
Carex elata;Boreal;B
Carex elongata;Boreal;B
Carex ericetorum;Boreal;B
Carex flava;Boreal;B
Carex fuliginosa;Arc;AA
Carex glacialis;Arc;AA
Carex globularis;Boreal;B
Carex heleonastes;Boreal;B
Carex holostoma;Arc-alp;AA
Carex lachenalii;Arc-alp;AA
Carex lapponica;Boreal;B
Carex lasiocarpa;Boreal;B
Carex laxa;Boreal;B
Carex lepidocarpa;Boreal;B
Carex leporina;Boreal;B
Carex limosa;Boreal;B
Carex livida;Boreal;B
Carex loliacea;Boreal;B
Carex macloviana;Arc-alp;AA
Carex magellanica;Boreal;B
Carex microglochin;Arc-alp;AA
Carex muricata;Boreal;B
Carex myosuroides;Arc-alp;AA
Carex nardina;Arc-alp;AA
Carex nigra;Boreal;B
Carex norvegica;Alp;AA
Carex oederi;Boreal;B
Carex ornithopoda;Boreal;B
Carex pallescens;Boreal;B
Carex panicea;Boreal;B
Carex parallela;Arc;AA
Carex pauciflora;Boreal;B
Carex pilulifera;Boreal;B
Carex rariflora;Arc;AA
Carex rhynchophysa;Boreal;B
Carex rostrata;Boreal;B
Carex rotundata;Arc-alp;AA
Carex rufina;Arc;AA
Carex rupestris;Arc-alp;AA
Carex saxatilis;Arc;AA
Carex scirpoidea;Arc-alp;AA
Carex simpliciuscula;Arc-alp;AA
Carex stenolepis;Arc-alp;AA
Carex tenuiflora;Boreal;B
Carex vaginata;Boreal;B
Carex vesicaria;Boreal;B
Carum carvi;Boreal;B
Cassiope tetragona;Arc;AA
Catabrosa aquatica;Boreal;B
Centaurea jacea;Boreal;B
Centaurea phrygia;Boreal;B
Centaurea scabiosa;Boreal;B
Cerastium alpinum;Arc-alp;AA
Cerastium arcticum;Arc;AA
Cerastium arvense;Boreal;B
Cerastium cerastoides;Arc-alp;AA
Cerastium fontanum;Boreal;B
Cerastium glomeratum;Boreal;B
Ceratophyllum demersum;Boreal;B
Chaerophyllum bulbosum;Boreal;B
Chaerophyllum prescottii;Boreal;B
