X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Seed_mass,CWM.Height,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site33,1,32,7,4.077490527640935,4.077490527640935,4.077490527640935,0.6677380643333702,32,32,24.72840465191055,0.6633918675346904,0.878038747765655,0.7328137766287524,2.349972193833004,6.2857433864293,-1.5672534668122502,-0.24609623878857897,0.10492956498127937,-0.11826044483604407,-0.01123832147543217,-0.3892325803847369,-0.19901806287764776
site229,2,9,7,1.7849404718503294,1.7849404718503294,1.7849404718503294,0.6677380643333702,9,9,11.62221291627198,0.6633918675346904,0.8953386045474357,0.743555542636363,2.6183167608717928,7.218668747258308,-0.44181069028230135,0.4914043528055083,-0.2072625723357872,0.4020425361678592,-0.227398724117015,0.45667461017530236,0.21175979417974503
site420,3,20,7,3.0851120208034377,3.0851120208034377,3.0851120208034377,0.6677380643333702,20,20,23.00336717656008,0.6633918675346904,0.852286033039677,0.6222383026740257,2.371891024658452,6.681061485476469,-0.8998771001756151,-0.0811049288120497,0.2506390182334308,-0.2007669975129762,0.05815017355827129,0.11770425828351064,-0.03245924930299052
site620,4,3,7,0.6793705546774239,0.6793705546774239,0.6793705546774239,0.6677380643333702,3,3,0.8093515771597638,0.6633918675346904,0.7331431569285078,0.7688526882995099,1.46773222065211,2.2823781816709845,-1.5822829881066762,0.310822976104035,0.27441569473630645,-0.36465295873575554,-0.1825306713060594,0.13734067536251354,-0.8939983859350905
site823,5,4,7,1.00213580378509,1.00213580378509,1.00213580378509,0.6677380643333702,4,4,6.320389942577211,0.6633918675346904,0.9378523284086421,0.8132863008336126,2.5755311507127825,7.151111996201796,-1.6667396168576523,0.07224615809496124,-0.33512436326391004,0.5268325134268576,0.5259026129283074,-0.2487102026558185,-0.5175937735220126
site1015,6,8,7,1.5871063192397201,1.5871063192397201,1.5871063192397201,0.6677380643333702,8,8,6.8853467951231195,0.6633918675346904,0.8681598902659854,0.7599255460480576,2.32730434151854,5.919424840477338,-0.6153231588162711,0.5754712342610431,-0.03694620352870636,0.07812461168269576,-0.01761236996985586,0.46506080620689566,-0.3878518585143136
site1208,7,6,7,1.2494265197310552,1.2494265197310552,1.2494265197310552,0.6677380643333702,6,6,10.110098129518708,0.6633918675346904,0.8926516715152294,0.8841982544699836,2.4827742391418526,6.510432356553859,-1.472502111244508,0.14440494721529426,-0.2873341118787582,0.3871348324483815,0.5202296268749296,-0.09460953526239047,-0.2150143353868485
site1402,8,9,7,1.4933848509534602,1.4933848509534602,1.4933848509534602,0.6677380643333702,9,9,11.946250868714877,0.6633918675346904,0.7781140629416203,0.8407849105616682,2.213650290725192,5.563247630553613,-1.175696649491756,0.20728768624647984,0.11280481067398208,0.22071410617118317,0.43524450665496883,-0.05041431155702938,-0.5157479908206447
site1594,9,32,7,4.312877207304965,4.312877207304965,4.312877207304965,0.6677380643333702,32,32,28.494369983276467,0.6633918675346904,0.9104856063561776,0.7293999039438893,2.4823849475248747,6.974062582491184,-1.6519637768612068,-0.3736308888079636,0.31339779081844826,-0.16229329624690186,-0.1731007674255069,-0.5087903325738503,-0.3087777684076925
site1786,10,1,7,0.3913329616851584,0.3913329616851584,0.3913329616851584,0.6677380643333702,1,1,NA,0.6633918675346904,NA,NA,0,0,-3.2188758248682006,0.18977097753213842,-0.3205301375403829,-0.7756422788126602,-0.5537886718655066,-0.14845759634475192,-0.3666545553776025
site1980,11,17,7,2.467845836469188,2.467845836469188,2.467845836469188,0.6677380643333702,17,17,17.13627690092243,0.6633918675346904,0.8345035005818727,0.6921424689346085,2.2675335080532997,5.794691524783973,-1.3398453137784052,-0.2641351720440095,0.1366223867338316,-0.0893416014563467,0.22249954241039566,-0.22232867418590332,-0.32993214195160236
site2172,12,55,7,6.55227739832289,6.55227739832289,6.55227739832289,0.6677380643333702,55,55,34.225860621105404,0.6633918675346904,0.8807274292592284,0.7131417762856188,2.4940593427340265,7.020603481857489,-1.595612035251828,-0.3350389222896529,0.17412703897284595,-0.048439173604733723,0.03542739224467614,-0.4061348009836841,-0.11606318377589905
site2364,13,2,7,0.589717432550952,0.589717432550952,0.589717432550952,0.6677380643333702,2,2,NA,0.6633918675346904,NA,NA,1.609588350084465,2.590774656727628,-1.9629342061250994,0.352393020605087,0.0650754698754453,-0.20116152640375226,-0.07086221673457166,-0.08151831534028342,-0.8867706293243764
site2562,14,19,7,2.808313578347226,2.808313578347226,2.808313578347226,0.6677380643333702,19,19,17.3582358846024,0.6633918675346904,0.8755485399935918,0.7206024647505335,2.2884278756298233,5.962328973561447,-1.435970729461774,-0.29254827966166097,0.004797704384515062,-0.17448683437926252,0.1595237329896705,-0.18119642602685843,-0.21606479348163515
site2754,15,37,7,4.461478672233505,4.461478672233505,4.461478672233505,0.6677380643333702,37,37,25.932294888044808,0.6633918675346904,0.8768925925826742,0.7050105068526821,2.3242511779605364,6.061522447186693,-1.4377933311958622,-0.15067099922878546,0.20503524573499174,-0.08621472610934074,-0.06615748975650182,-0.25593742119556395,0.01349245029048483
site2949,16,3,7,0.6793705546774239,0.6793705546774239,0.6793705546774239,0.6677380643333702,3,3,0.8093515771597638,0.6633918675346904,0.7331431569285078,0.7688526882995099,1.46773222065211,2.2823781816709845,-1.5822829881066762,0.310822976104035,0.27441569473630645,-0.36465295873575554,-0.1825306713060594,0.13734067536251354,-0.8939983859350905
site3145,17,8,7,1.5771445203578194,1.5771445203578194,1.5771445203578194,0.6677380643333702,8,8,16.42957883965205,0.6633918675346904,0.875262073077182,0.7517306979511885,2.588712769622637,7.566149908685953,-1.476980288022234,-0.04957709888031317,0.0307811048357209,0.07239276876199678,0.29133830371913605,-0.17798705787511265,-0.43051029402514046
site3337,18,27,7,3.745593596821073,3.745593596821073,3.745593596821073,0.6677380643333702,27,27,18.862266615656257,0.6633918675346904,0.8846190792045211,0.7127161093046189,2.274783698620348,5.643733510057326,-1.4141515302811751,-0.14087726568724765,-0.06056872987148469,-0.10509611258090998,0.2088246702566905,-0.01211995485983377,-0.00934761626359834
site3528,19,3,7,0.6793705546774239,0.6793705546774239,0.6793705546774239,0.6677380643333702,3,3,0.8093515771597638,0.6633918675346904,0.7331431569285078,0.7688526882995099,1.46773222065211,2.2823781816709845,-1.5822829881066762,0.310822976104035,0.27441569473630645,-0.36465295873575554,-0.1825306713060594,0.13734067536251354,-0.8939983859350905
site3724,20,6,7,1.2478230259442862,1.2478230259442862,1.2478230259442862,0.6677380643333702,6,6,16.42957883965205,0.6633918675346904,0.8373855313389341,0.7944700252333853,2.8635910861256146,9.021113108354406,-1.4268914745882582,0.06868502927380557,0.13292967073657794,0.25326507035572676,0.5254971605312727,-0.3072123521444074,-0.3975880503740834
site3916,21,17,7,2.4883722380653297,2.4883722380653297,2.4883722380653297,0.6677380643333702,17,17,10.960441715459424,0.6633918675346904,0.8671745902648044,0.7557992409186518,2.1227035915448993,4.89599588474953,-1.606982692764225,-0.33910664107731137,-0.14956985122878538,0.06699529987713958,0.23829492260892274,-0.3401330537814303,0.20469640855346583
site4108,22,3,7,0.6793705546774239,0.6793705546774239,0.6793705546774239,0.6677380643333702,3,3,0.8093515771597638,0.6633918675346904,0.7331431569285078,0.7688526882995099,1.46773222065211,2.2823781816709845,-1.5822829881066762,0.310822976104035,0.27441569473630645,-0.36465295873575554,-0.1825306713060594,0.13734067536251354,-0.8939983859350905
