X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Height,CWM.Seed_mass,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site33,1,6,7,0.8791701173973429,0.8791701173973429,0.8791701173973429,0.6520936290889294,6,6,1.756809268581572,0.597248951486192,0.7747226729233414,0.6833704556985313,1.544124621448456,2.841404168345433,-1.0540768225619013,-0.05367147618352548,1.2528686330319923,-0.7259390089311266,-0.74048997140907,-1.1926463916069736,-0.69618050368996
site229,2,117,7,10.50439462391871,10.50439462391871,10.50439462391871,0.6520936290889294,117,117,32.31284721828566,0.597248951486192,0.890454591669484,0.6975208570519746,2.338954082456273,6.265940159010512,0.004728937471293172,-0.026894979054263395,-0.01133514138439481,-0.11346777975186509,-0.06018736136013698,0.07151412986203035,-3.0108779413672015e-4
site420,3,12,7,1.4822375035766093,1.4822375035766093,1.4822375035766093,0.6520936290889294,12,12,3.6344279741475494,0.597248951486192,0.884179918058528,0.7231871188860347,1.66484033801537,3.1259791588778447,-0.5620355919727518,-0.24546225077984596,0.6889680612307051,-0.44072533814932013,-0.6837780080151261,-0.8298685258769332,-0.5115946678611066
site620,4,6,7,0.9996262764743722,0.9996262764743722,0.9996262764743722,0.6520936290889294,6,6,4.792832116146781,0.597248951486192,0.8314707645948954,0.646668813651543,2.060691034165344,5.069601344178341,-0.7735217114674082,-0.04069915050491709,0.011420433544307476,0.05087357410891373,-0.28920073609704167,-0.9674627798101335,-0.23836586644349478
site823,5,5,7,0.8038375667736245,0.8038375667736245,0.8038375667736245,0.6520936290889294,5,5,1.65184275184009,0.597248951486192,0.9148895125459563,0.6951979489410043,1.7381270880355424,3.1579665770860488,-0.9733961823992664,-0.27375483314315696,0.7554174777884889,-0.49852317600867113,-0.5020774231770545,-0.7822109265883462,-0.454832185601377
site1015,6,100,7,9.222780531647697,9.222780531647697,9.222780531647697,0.6520936290889294,100,100,24.937972861578977,0.597248951486192,0.8945671331051542,0.6943051648175397,2.165265602959055,5.409621998022553,-0.026417901711420045,0.0016894993294707485,0.013308222603289014,-0.0784229068873985,-0.13723475557953657,0.06538771806779953,-0.07707482701647161
site1208,7,7,7,1.2288835889075753,1.2288835889075753,1.2288835889075753,0.6520936290889294,7,7,8.982840170562284,0.597248951486192,0.7702337054024411,0.6912508568884126,2.2531864779417146,6.400730092824486,0.15154610683252018,0.1770271365625799,0.30636898477723135,0.06332571647085375,-0.3158833107207769,-0.4052456494975798,-0.23195369690117587
site1402,8,5,7,0.8038375667736245,0.8038375667736245,0.8038375667736245,0.6520936290889294,5,5,1.65184275184009,0.597248951486192,0.9148895125459563,0.6951979489410043,1.7381270880355424,3.1579665770860488,-0.9733961823992664,-0.27375483314315696,0.7554174777884889,-0.49852317600867113,-0.5020774231770545,-0.7822109265883462,-0.454832185601377
site1594,9,9,7,1.137590678697554,1.137590678697554,1.137590678697554,0.6520936290889294,9,9,4.066117659832262,0.597248951486192,0.850608845611894,0.6831521173415842,1.5360225302794266,2.8012096940713147,-0.7604970277552054,-0.3436167477434362,1.3811785480503265,-0.8929924389511706,-0.6199875852431903,-1.409970772554011,-0.7686904711043306
site1786,10,6,7,1.0390087187442594,1.0390087187442594,1.0390087187442594,0.6520936290889294,6,6,6.703493883861347,0.597248951486192,0.7786987922242894,0.7329773272763668,2.105344179999619,5.458059488483098,-0.0773899815606689,0.31859623827575145,0.3366304968429247,-0.6336477588130695,-0.2942529001921137,-0.40554298251246984,-0.6048314007090428
site1980,11,4,7,0.622485128468246,0.622485128468246,0.622485128468246,0.6520936290889294,4,4,0.9696484015908418,0.597248951486192,0.5280510072991339,0.6791230720209741,1.5244954622433253,2.864161305180783,-1.1121398621448073,-0.06505458396645322,1.3234759968144154,-0.8563876296655508,-0.5955726371438247,-0.8705291092164622,-0.5534104664119912
site2172,12,5,7,0.7741254555268193,0.7741254555268193,0.7741254555268193,0.6520936290889294,5,5,1.6918116843899227,0.597248951486192,0.8197223958185059,0.7323675956418926,1.5823374252638374,2.870488437908816,-0.918672191485715,-0.12347688599211701,1.2077298484164265,-0.8241797527873668,-0.6643781624875512,-1.3594894394773416,-0.6896780425800862
site2364,13,4,7,0.6273355170446944,0.6273355170446944,0.6273355170446944,0.6520936290889294,4,4,1.3999191484469475,0.597248951486192,0.8068196334002629,0.760492479471351,1.509964289012375,2.5787187918414345,-0.5497683047753746,0.1018280771029004,0.021259829172428843,-0.04817793431717492,-0.44871717052108234,-0.7705145158489739,-0.5784119511763413
site2562,14,3,7,0.5562182161464164,0.5562182161464164,0.5562182161464164,0.6520936290889294,3,3,0.6133401999239791,0.597248951486192,0.6187331807035696,0.7184703093198079,1.8003245834544217,3.5021332899810704,-1.2150829288003608,-0.016916357864086337,1.1343428274488419,-0.7595302784448307,-0.5174506632633281,-0.8452555246210866,-0.4335019610455418
site2754,15,6,7,0.9860701038136154,0.9860701038136154,0.9860701038136154,0.6520936290889294,6,6,3.0322947012414314,0.597248951486192,0.8951473569519544,0.7657130334668268,2.340056722402079,5.925230087218781,-0.6795041924130589,-0.05554661444459213,0.05174621742934702,-0.15302421724358906,-0.07709902287372664,-0.05067051557129788,0.18182930891364937
site2949,16,7,7,0.8859104411078347,0.8859104411078347,0.8859104411078347,0.6520936290889294,7,7,2.0893347540316216,0.597248951486192,0.853302112583112,0.6277733923959677,1.318344044465731,2.0432391309836326,-0.6169932606869912,-0.1554666101116561,0.18428296356847787,-0.32012159967924414,-0.44839017316484026,-0.6319320774682207,-0.6104944653634752
site3145,17,4,7,0.6936883676338172,0.6936883676338172,0.6936883676338172,0.6520936290889294,4,4,1.65184275184009,0.597248951486192,0.8347260436504704,0.7009538608210746,1.7726657350965045,3.349621928816448,-1.0328699137320676,-0.16204180001429114,0.961263697140925,-0.408014873665216,-0.4984364569179434,-1.0009989829770134,-0.5262775699890964
