X1,x_utm34,y_utm34,sitename,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ
1,-100356.949231877,6823493.90275915,site33,43,43,0.018007983373074528,0.15026681049606375,0.9924848046452438,0.7532270220594451,0.1728869031775103,0.030919759426481678
2,-100356.949231877,6906602.45139497,site229,131,131,0.05830751484484799,0.15026681049606375,0.9927217668895171,0.7455415761065947,0.18644962450862132,0.03624950783676118
3,-100356.949231877,6984414.86702949,site420,38,38,0.025402090988501855,0.15026681049606375,0.9916946102094194,0.726377524547848,0.1787120310940594,0.03338234313468845
4,-100764.344078132,6828790.03576045,site620,9,9,0.0037666193784108805,0.15026681049606375,0.9764971448989584,0.7001975468058704,0.16535495000659825,0.029524303601178702
5,-100764.344078132,6915565.13801256,site823,11,11,0.007475354084101776,0.15026681049606375,0.9924093928879577,0.7362749391203046,0.16787939640416694,0.028939806697891937
6,-100764.344078132,6993784.94849333,site1015,113,113,0.05101827568746212,0.15026681049606375,0.9926001631874904,0.748946541261563,0.17962041735005294,0.03348378551621712
7,-101171.738924387,6835308.35330052,site1208,15,15,0.015411126458551696,0.15026681049606375,0.9838552081153427,0.7771220483479917,0.1842863396463644,0.036084973535311114
8,-101171.738924387,6918416.90193634,site1402,15,15,0.00875968660350778,0.15026681049606375,0.9870490651435798,0.7482003628582324,0.1644566087998472,0.028012782107935046
9,-101171.738924387,6996636.71241711,site1594,47,47,0.023170282551920853,0.15026681049606375,0.9914726840813376,0.77202566480466694,0.17809977950914543,0.03280572885022544
10,-101579.133770642,6837345.32753179,site1786,7,7,0.005238854469202913,0.15026681049606375,0.9811327912133365,0.7947985175942751,0.1686777322550352,0.030340234976332807
11,-101579.133770642,6920046.48132135,site1980,23,23,0.011757755611989072,0.15026681049606375,0.987813167061933,0.7581050799404717,0.16729021298292682,0.028753149042881652
12,-101579.133770642,6998266.29180213,site2172,70,70,0.026827001353444867,0.15026681049606375,0.9918629737280701,0.7711408662789786,0.17828580933959512,0.03276709064808832
13,-101986.528616897,6838567.51207055,site2364,6,6,9.455007302992172e-4,0.15026681049606375,0.9843403902033712,0.6974730612338446,0.14454475064958974,0.021379462152177637
14,-101986.528616897,6922083.45555262,site2562,25,25,0.013468383019913776,0.15026681049606375,0.990848479320558,0.725218627028842,0.17523603950757338,0.03203722678956395
15,-101986.528616897,7000303.2660334,site2754,49,49,0.022827779802756444,0.15026681049606375,0.9912123390199254,0.7363141079541039,0.17708980402809388,0.03235378000649257
16,-102393.923463151,6841826.67084058,site2949,10,10,0.0025789855865008407,0.15026681049606375,0.9881638999759154,0.7161220481312677,0.13954348621573215,0.019957322652707454
17,-102393.923463151,6924120.42978389,site3145,14,14,0.009793222565878121,0.15026681049606375,0.9926716687462138,0.7064249851130611,0.1728666069450076,0.030781252161630267
18,-102393.923463151,7002340.24026467,site3337,45,45,0.033934099100322725,0.15026681049606375,0.990341685001935,0.8089439251669929,0.18431754295410746,0.034902787460939784
19,-102801.318309406,6842234.06568683,site3528,15,15,0.008921209584628264,0.15026681049606375,0.9796272652036357,0.7128089183292917,0.1663399880434023,0.03046677580250322
20,-102801.318309406,6923713.03493764,site3724,11,11,0.00912837469857771,0.15026681049606375,0.9833445928679927,0.7812254835235275,0.17952437943702662,0.03308378530768959
21,-102801.318309406,7001932.84541841,site3916,28,28,0.02195086151978214,0.15026681049606375,0.9872252375601672,0.8153304375409964,0.1819586572330336,0.03412428280775404
22,-103208.713155661,6841826.67084058,site4108,11,11,0.0042101596836498735,0.15026681049606375,0.99209472526035,0.7622141901002559,0.15125127637491062,0.023331278495706258
23,-103208.713155661,6921676.06070637,site4301,14,14,0.009793222565878121,0.15026681049606375,0.9926716687462138,0.7064249851130611,0.1728666069450076,0.030781252161630267
24,-103208.713155661,7000303.2660334,site4494,80,80,0.041023799022733454,0.15026681049606375,0.9910830185079441,0.746072049590286,0.1823972695600246,0.034697017342729085
25,-10322.6882095569,6880529.18123471,site4692,36,36,0.031094484854884485,0.15026681049606375,0.9898070877869759,0.7478289856079866,0.18983585133449582,0.03741051203731588
26,-10322.6882095569,6958341.59686923,site4883,9,9,0.008337604039893273,0.15026681049606375,0.9857153306710424,0.7882947974243677,0.16720473522860965,0.02939629876997166
27,-10322.6882095569,7036154.01250375,site5074,25,25,0.0160599634878629,0.15026681049606375,0.9868397744819571,0.7414832546475758,0.17386568758803927,0.03163415507620504
28,-103616.108001916,6868714.73069335,site5268,7,7,0.003013542214995249,0.15026681049606375,0.9913605552119146,0.7535144701246259,0.15105230854739635,0.02296002665431505
29,-103616.108001916,6946934.54117412,site5460,30,30,0.022481640956689378,0.15026681049606375,0.9866201024865724,0.6744167138659943,0.18207395478865154,0.03597308575295578
30,-103616.108001916,7026376.53619366,site5655,81,81,0.037821390268702626,0.15026681049606375,0.9910971288805429,0.7771351976735695,0.18352460785754215,0.035179499963535275
31,-104023.502848171,6866677.75646208,site5847,12,12,0.009614897148236217,0.15026681049606375,0.9913385791895776,0.7434934592853878,0.1748237748984294,0.03152595110204827
32,-104023.502848171,6944897.56694285,site6039,10,10,0.00883097731282137,0.15026681049606375,0.9669723361752901,0.6233930682636306,0.18518288229343668,0.03778660452585167
33,-104023.502848171,7023932.16711613,site6233,73,73,0.030888203748679767,0.15026681049606375,0.992154637949839,0.7603081988564375,0.17679959402910295,0.03240753927139517
34,-104430.897694426,6865862.96676957,site6429,20,20,0.011959483891426374,0.15026681049606375,0.988047155358897,0.747832629613625,0.16771086902677793,0.02909525883240709
35,-104430.897694426,6943675.38240409,site6620,11,11,0.006583864678371864,0.15026681049606375,0.9914623448815698,0.7807830285919699,0.16865967735906964,0.028731038972947414
36,-104430.897694426,7022709.98257737,site6814,54,54,0.0380124785349247,0.15026681049606375,0.990880974256071,0.7610385574173143,0.1839430912328359,0.035431973679884196
37,-104838.292540681,6863418.59769204,site7007,20,20,0.01989208492813726,0.15026681049606375,0.9892030502877467,0.7930776524347186,0.17681737983298018,0.0325537198580738
38,-104838.292540681,6941231.01332656,site7198,13,13,0.007443698184330625,0.15026681049606375,0.9891805754060138,0.7217642301951345,0.16653643012690347,0.02868254238716303
39,-104838.292540681,7020265.61349984,site7392,80,80,0.04088855868096406,0.15026681049606375,0.9910634464578915,0.7836301731674928,0.18329284327654013,0.03491856711490292
40,-105245.687386935,6860566.83376827,site7584,22,22,0.013797161940464686,0.15026681049606375,0.9894745589772443,0.7430198399355261,0.16809771973367363,0.029038631602236735
41,-105245.687386935,6938379.24940278,site7775,48,48,0.02014286716050634,0.15026681049606375,0.9927206064809051,0.7652631179863545,0.17689516333584096,0.032398664590806495
42,-105245.687386935,7017006.45472981,site7968,61,61,0.03263089917805174,0.15026681049606375,0.990799988753443,0.7644816416886935,0.18413472299259542,0.03544155484870117
43,-105653.08223319,6852826.33168944,site8163,22,22,0.013722451613468719,0.15026681049606375,0.9882279281209013,0.7614551234359699,0.17057909926945006,0.02986188575083953
44,-105653.08223319,6930638.74732396,site8354,13,13,0.010709716568293315,0.15026681049606375,0.9911176686193451,0.7484583317346709,0.16843830221218514,0.029134744549635473
45,-105653.08223319,7008451.16295848,site8545,70,70,0.038835828748899695,0.15026681049606375,0.9909053120918672,0.7734000306635652,0.18176503560181895,0.0343128432310184
