species,Height,Seed mass,LDMC,SLA,Leaf nitrogen,Leaf area,Leaf phosphorus,genus,family,order,class,phylum,kingdom,Gbif_speciesKey,Gbif_gbif_with_author
Abies_sibirica,37.5,10,,,,,,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,2685654,Abies sibirica Ledeb.
Abrotanella_caespitosa,0.0063,,0.299,8.59,,,,Abrotanella,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,3138522,Abrotanella caespitosa Petrie ex Kirk
Abrotanella_inconspicua,,,,,10.35,,,Abrotanella,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,3138529,Abrotanella inconspicua Hook.f.
Acaena_magellanica,0.09,,0.2730921445,12.287,,3908.6775,,Acaena,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,5370832,Acaena magellanica Vahl
Acaena_novae-zelandiae,,,0.345,12.918,,466.41725,,Acaena,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,5370755,Acaena novae-zelandiae Kirk
Acaena_ovina,,,0.386,9.408,,536.4666,,Acaena,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,5371158,Acaena ovina A.Cunn.
Acaena_saccaticupula,0.0256,3.31,0.28,13.51,,,,Acaena,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,5370694,Acaena saccaticupula Bitter
Acer_platanoides,25,135.5,0.38024211935,17.673021583,23.5,7256.5,1.64,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,3189846,Acer platanoides L.
Achillea_atrata,,0.453448276,,,,,,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,3120203,Achillea atrata L.
Achillea_millefolium,0.12,0.15,0.233766234,13.1771217712177,21.225,574.05,2.18,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,3120060,Achillea millefolium L.
Achillea_ptarmica,0.65,0.25,0.131080316271328,22.48,59.9946733563964,119,,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,3120333,Achillea ptarmica L.
Aciphylla_glacialis,,,0.36,6.69,,4176.289,,Aciphylla,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,5539110,Aciphylla glacialis F.Muell. ex Benth.
Aciphylla_hectori,0.1175,2.34,0.275,8.27,,,,Aciphylla,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,5539101,Aciphylla hectori Buchanan
Aciphylla_simplicifolia,,,,,,604.7821,,Aciphylla,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,5538987,Aciphylla simplicifolia F.Muell. ex Benth.
Aconitum_delphinifolium,0.0965,0.17,0.187894737,22.729139215,,392.8,,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,7276945,Aconitum delphinifolium DC.
Aconitum_lycoctonum,,3.12,,,,,,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,3033675,Aconitum lycoctonum L.
Aconitum_nasutum,,,0.17551963,22.93834921,29.12348641,2135.0817515,1.984160458,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,7276905,Aconitum nasutum Rchb.
Acrothamnus_montanus,,,0.61,6.062,,7.207225,,Acrothamnus,Ericaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,4010137,Acrothamnus montanus (R.Br.) Quinn
Actaea_rubra,,7.139,,,,,,Actaea,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,5371704,Actaea rubra (Aiton) Willd.
Adoxa_moschatellina,0.0625,64,0.135,38.5,,1951,,Adoxa,Adoxaceae,Dipsacales,Magnoliopsida,Tracheophyta,Plantae,2888794,Adoxa moschatellina L.
Aegopodium_podagraria,0.4,2.2,0.246,25.6,21.4858858952121,12318,2.12796456292222,Aegopodium,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,3034620,Aegopodium podagraria L.
Agoseris_aurantiaca,0.105,,,3.50784958,,960.8,,Agoseris,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,3092928,Agoseris aurantiaca (Hook.) Greene
Agrostis_alpina,0.0725,0.50625,0.475575084,7.3041666665,,29.461666665,,Agrostis,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,4126789,Agrostis alpina Scop.
Agrostis_canina,0.35,0.05,0.29097,33.07,21.18,70.5,3.548,Agrostis,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,2706465,Agrostis canina L.
Agrostis_capillaris,0.3,0.0695,0.2658325,28.53,21.328675,228.0533333,2.13559714190551,Agrostis,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,2706490,Agrostis capillaris L.
Agrostis_clavata,,0.11,,,,,,Agrostis,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,2706467,Agrostis clavata Trin.
Agrostis_gigantea,0.698,0.0845,0.253715,30.38,21.8255,317.97,,Agrostis,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,2706541,Agrostis gigantea Roth
